address,lendedUsd,nbOfLiquidations,usdLostToLiquidations
0x0003…158a,15386.39595989489,0,0
0x0007…9e6b,154.96638633202963,0,0
0x0010…8cdf,827.5666735698549,3,139.44264188305038
0x0015…d445,1037.4289658975106,21,1414.832553656196
0x001c…37b4,169.84780068312028,3,316.52932329383896
0x0021…0fd3,1400254.230441887,0,0
0x0023…ad2b,166.7734354226054,0,0
0x002a…e745,7550.076500316032,0,0
0x0032…863a,4589.029586346938,0,0
0x0038…c76b,6084.773633779987,0,0
0x005b…fa43,23541.81147185398,0,0
0x005e…4661,4552.913054694031,0,0
0x005f…b171,280.66635235826016,0,0
0x0061…e8ed,389.54196009082784,0,0
0x0081…9c94,132.39875737915233,6,555.451632295843
0x0082…f80d,11722.959604087691,0,0
0x0082…119c,24929107.902831856,0,0
0x0084…7464,5102698.3080120385,0,0
0x0086…6956,4359.017399141115,0,0
0x00af…6632,6143.512838142203,0,0
0x00b6…1741,257.38451405416134,1,21.999489213138105
0x00b9…9787,112.19999999999999,0,0
0x00c7…83da,764.5000351190853,6,1224.322929966481
0x00cd…2f65,82583.05395651372,0,0
0x00d3…72ec,462267.50819304504,5,57502.222664575456
0x00da…4134,133.5474649601757,7,859.3042515003553
0x00dc…8793,10428.501423204933,0,0
0x00e4…b56d,47899.07224430767,0,0
0x00ef…671e,1648.4226825802937,0,0
0x00f4…f63b,18473.771064273853,0,0
0x00f6…44e3,13114.582183112994,0,0
0x010c…cea6,220.64759290629803,0,0
0x0110…8a27,165017.503921,1,6246.676644705
0x0112…fb7f,31254.61361927133,0,0
0x0121…79ae,664.0507005312722,0,0
0x013c…3bcc,121.01681791719713,0,0
0x0147…1ec1,88356.06257986557,19,30945.809903691348
0x014a…0106,4567.136339484014,3,927.6420534751097
0x0165…33e3,4088.6586363425013,1,168.4910320359737
0x016a…5962,172.895174,0,0
0x0180…65a5,13721.82795459726,0,0
0x0180…6ba9,1259.6380272055615,7,3656.699188695
0x0184…b951,9030.114399062155,0,0
0x0190…4fa8,9127.058069357105,0,0
0x019d…4d8d,2971761.379827279,0,0
0x01d1…2dcf,25311729.252326153,0,0
0x01d3…4106,379.10679999999996,2,40.97865969
0x01df…04ca,67180.03673170038,0,0
0x01f6…469d,793767.590505,0,0
0x01fe…c356,23269.23826566032,0,0
0x0217…dfc4,973554.5850182768,0,0
0x021c…eb21,3641.171008282635,1,159.3327483000808
0x022d…2d36,7557.663936435943,7,1815.0251903803205
0x0242…6d27,130427.30491942677,0,0
0x025c…0b2b,161315.09398658166,0,0
0x025e…5087,1554.4433855419727,0,0
0x026f…97ec,104.13406235025016,0,0
0x0275…df6b,904.6477999208842,0,0
0x0276…5500,266.4319985701943,0,0
0x0279…42cd,14603026.441865398,0,0
0x027c…ded3,4154.217462169926,0,0
0x028b…8817,3745.55961438935,0,0
0x02a4…6233,7499.333561958347,1,323.123444257887
0x02a5…1fe1,140230.53001612014,0,0
0x02aa…d8fa,908.0381988061357,0,0
0x02ab…45a3,197.49686123002394,0,0
0x02bb…ef84,56356.34006989531,0,0
0x02be…9920,2350.478614499051,0,0
0x02c0…6a92,9790.930793683532,0,0
0x02c0…4c30,523.3052833702035,0,0
0x02c2…e235,6769.413652368789,4,3087.965835924702
0x02c8…3eb4,130325.02939407321,0,0
0x02db…8492,48289.11389353213,1,1141.3398239173296
0x02db…0d47,2480.9560078722043,0,0
0x02e3…c6a8,194253.77797107818,0,0
0x02e7…9bbe,99769.89026780034,0,0
0x02e7…9057,2476.469241676196,0,0
0x02ee…ae5b,1501.1961695607692,0,0
0x0300…d070,2825.4297808484675,0,0
0x030e…a05f,3219.766860833278,0,0
0x0319…da44,1004174.5258573472,0,0
0x031f…37ef,20282.413783131,0,0
0x0324…ac70,2449.2403521720485,4,323.09807111484974
0x0326…57a6,66870.17021309232,0,0
0x032a…1d89,5975.3284036453315,0,0
0x032c…5574,477.903604,1,2175.19688979
0x0335…25ec,56362.89291029943,0,0
0x034c…75a1,19642.2978950785,2,682.0565546467565
0x034e…6414,50810.994774150466,2,5955.688033963869
0x0351…06cf,21646.35053452797,2,2776.568062159001
0x0351…9e21,13999.029305378303,0,0
0x0352…8f42,165.11585682226834,0,0
0x035e…91f4,307.0219009182012,0,0
0x035f…1b12,26123.037610619536,0,0
0x0360…e886,123.60082465246924,11,1280.2174366365002
0x0365…92b8,388.13964839210985,9,5488.691333076787
0x036f…a8cf,58906.93886472982,0,0
0x0370…aa32,11486.987792433934,0,0
0x0374…599e,108388.17602557462,0,0
0x039b…4865,26310.62205133122,0,0
0x03a4…2432,259.1761741384138,3,291.7433704804175
0x03a7…0640,41280.738459781125,1,2103.43860531
0x03ae…695b,1497.5645515243218,0,0
0x03c0…baa1,32629.084118432802,0,0
0x03c1…c4e9,44791.641527286454,0,0
